Frame,People,Bikes,Buses,Cars,Trucks
445,0,0,0,5,2
446,0,0,0,5,2
447,0,0,0,5,2
448,0,0,0,4,2
449,0,0,0,4,2
450,0,0,0,4,2
451,0,0,0,4,2
452,0,0,0,4,2
453,0,0,0,4,2
454,0,0,0,4,2
455,0,0,0,4,2
456,0,0,0,4,2
457,0,0,0,4,2
458,0,0,0,4,2
459,0,0,0,4,2
460,0,0,0,4,2
461,0,0,0,4,2
462,0,0,0,4,2
463,0,0,0,4,2
464,0,0,0,4,2
465,0,0,0,3,2
466,0,0,0,3,2
467,0,0,0,3,2
468,0,0,0,4,2
469,0,0,0,4,2
470,0,0,0,4,2
471,0,0,0,4,2
472,0,0,0,5,2
473,0,0,0,4,4
474,1,0,0,4,3
475,1,0,0,5,3
476,0,0,0,6,3
477,0,0,0,5,5
478,0,0,0,5,3
479,0,0,0,4,4
480,0,0,0,4,4
481,0,0,0,4,4
482,0,0,0,6,4
483,0,0,0,5,4
484,0,0,0,6,5
485,0,0,0,5,5
486,0,0,0,5,5
487,0,0,0,6,5
488,0,0,0,5,5
489,0,0,0,5,5
490,0,0,0,6,4
491,0,0,0,4,4
492,0,0,0,4,4
493,0,0,0,4,4
494,0,0,0,3,3
495,0,0,0,3,4
496,0,0,0,3,4
497,0,0,0,5,4
498,0,0,0,4,3
499,0,0,0,5,4
500,0,0,0,5,3
502,0,0,0,4,3
503,0,0,0,4,3
505,0,0,0,3,3
